OrderID,OrderDate,ShipDate,ShipMode,CustomerID,CustomerName,Region,Category,Product,Quantity,UnitPrice,Discount,Sales,Profit,Sales_Outlier,Quantity_Outlier,Sales_Validation_Flag,OrderMonth,ShippingDays,ProfitMargin
ORD-10021,2025-06-22,2025-06-28,Second Class,CUST-0130,Customer 130,East,Furniture,Bookcase,5.0,1159.65,0.0,5798.25,1005.66,False,False,False,2025-06,6,0.1734
ORD-10022,2024-01-14,2024-01-18,Standard Class,CUST-0194,Customer 194,South,Technology,Wireless Mouse,10.0,135.43,0.15,1151.16,96.31,False,False,False,2024-01,4,0.0837
ORD-10023,2024-03-27,2024-03-30,Same Day,CUST-0076,Customer 76,South,Technology,Wireless Mouse,7.0,1041.95,0.0,7293.65,2593.62,False,False,False,2024-03,3,0.3556
ORD-10024,2025-09-25,2025-10-02,First Class,CUST-0156,Customer 156,East,Furniture,Bookcase,11.0,547.41,0.0,6021.51,2511.98,False,False,False,2025-09,7,0.4172
ORD-10025,2024-05-20,2024-05-26,Second Class,CUST-0045,Customer 45,North,Office Supplies,Pens (Box),2.0,84.54,0.0,169.08,75.89,False,False,False,2024-05,6,0.4488
ORD-10026,2025-11-03,2025-11-07,Standard Class,CUST-0115,Customer 115,East,Office Supplies,Paper,11.0,202.81,0.0,2230.91,995.51,False,False,False,2025-11,4,0.4462
ORD-10027,2025-01-11,2025-01-16,Same Day,CUST-0098,Customer 98,East,Furniture,Bookcase,1.0,213.7,0.0,213.7,62.64,False,False,False,2025-01,5,0.2931
ORD-10028,2025-01-03,2025-01-07,Standard Class,CUST-0178,Customer 178,North,Office Supplies,Binder,11.0,1050.63,0.15,9823.39,3869.07,False,False,False,2025-01,4,0.3939
ORD-10029,2024-01-06,2024-01-09,Same Day,CUST-0084,Customer 84,West,Furniture,Chair,3.0,687.62,0.0,2062.86,995.87,False,False,False,2024-01,3,0.4828
ORD-10030,2025-08-31,2025-09-06,Same Day,CUST-0108,Customer 108,East,Office Supplies,Paper,2.0,67.09,0.2,107.34,35.6,False,False,False,2025-08,6,0.3317
ORD-10031,2025-03-25,2025-03-31,First Class,CUST-0042,Customer 42,West,Office Supplies,Paper,11.0,963.42,0.1,9537.86,1855.97,False,False,False,2025-03,6,0.1946
ORD-10032,2025-01-10,2025-01-15,First Class,CUST-0038,Customer 38,West,Office Supplies,Stapler,4.0,1029.8,0.0,4119.2,1504.41,False,False,False,2025-01,5,0.3652
ORD-10033,2024-09-03,2024-09-06,First Class,CUST-0140,Customer 140,South,Furniture,Chair,2.0,576.06,0.0,1152.12,482.28,False,False,False,2024-09,3,0.4186
ORD-10034,2024-10-04,2024-10-09,Same Day,CUST-0052,Customer 52,North,Office Supplies,Binder,5.0,824.46,0.0,4122.3,692.13,False,False,False,2024-10,5,0.1679
ORD-10035,2024-05-27,2024-06-02,First Class,CUST-0137,Customer 137,East,Technology,Wireless Mouse,4.0,644.84,0.15,2192.46,313.64,False,False,False,2024-05,6,0.1431
ORD-10036,2024-07-29,2024-08-02,Same Day,CUST-0031,Customer 31,South,Office Supplies,Stapler,1.0,883.2,0.0,883.2,226.82,False,False,False,2024-07,4,0.2568
ORD-10037,2025-01-16,2025-01-23,First Class,CUST-0044,Customer 44,South,Furniture,Table Lamp,7.0,118.64,0.1,747.43,307.63,False,False,False,2025-01,7,0.4116
ORD-10038,2025-08-07,2025-08-14,Same Day,CUST-0113,Customer 113,East,Office Supplies,Pens (Box),2.0,714.45,0.1,1286.01,173.91,False,False,False,2025-08,7,0.1352
ORD-10039,2024-04-04,2024-04-08,Standard Class,CUST-0098,Customer 98,East,Furniture,Bookcase,7.0,118.58,0.0,830.06,365.27,False,False,False,2024-04,4,0.4401
ORD-10040,2025-01-16,2025-01-18,First Class,CUST-0052,Customer 52,North,Technology,Monitor,8.0,917.89,0.1,6608.81,1672.37,False,False,False,2025-01,2,0.2531
ORD-10041,2025-06-16,2025-06-19,Same Day,CUST-0171,Customer 171,North,Office Supplies,Pens (Box),2.0,144.94,0.0,289.88,78.19,False,False,False,2025-06,3,0.2697
ORD-10042,2024-08-31,2024-09-06,Second Class,CUST-0005,Customer 5,South,Furniture,Bookcase,9.0,1078.55,0.1,8736.25,2963.65,False,False,False,2024-08,6,0.3392
ORD-10043,2025-06-22,2025-06-25,Standard Class,CUST-0041,Customer 41,North,Furniture,Desk,2.0,181.6,0.2,290.56,53.29,False,False,False,2025-06,3,0.1834
ORD-10044,2025-11-14,2025-11-19,Same Day,CUST-0129,Customer 129,East,Furniture,Bookcase,11.0,937.46,0.0,10312.06,3797.67,False,False,False,2025-11,5,0.3683
ORD-10045,2024-03-30,2024-03-31,Second Class,CUST-0150,Customer 150,North,Office Supplies,Pens (Box),11.0,146.58,0.15,1370.52,204.81,False,False,False,2024-03,1,0.1494
ORD-10046,2024-01-09,2024-01-16,Second Class,CUST-0013,Customer 13,East,Furniture,Bookcase,6.0,547.91,0.15,2794.34,810.77,False,False,False,2024-01,7,0.2901
ORD-10047,2024-10-12,2024-10-19,Standard Class,CUST-0168,Customer 168,North,Technology,Laptop,4.0,1102.54,0.1,3969.14,1593.36,False,False,False,2024-10,7,0.4014
ORD-10048,2025-09-02,2025-09-03,First Class,CUST-0042,Customer 42,West,Office Supplies,Binder,9.0,132.17,0.3,832.67,-39.24,False,False,False,2025-09,1,-0.0471
ORD-10049,2025-09-15,2025-09-21,Same Day,CUST-0007,Customer 7,North,Furniture,Bookcase,10.0,39.65,0.0,396.5,178.4,False,False,False,2025-09,6,0.4499
ORD-10050,2025-04-24,2025-04-30,First Class,CUST-0005,Customer 5,South,Furniture,Table Lamp,4.0,48.21,0.0,192.84,92.93,False,False,False,2025-04,6,0.4819
ORD-10051,2025-12-07,2025-12-14,Standard Class,CUST-0145,Customer 145,West,Office Supplies,Pens (Box),3.0,1020.04,0.0,3060.12,672.19,False,False,False,2025-12,7,0.2197
ORD-10052,2025-09-03,2025-09-08,First Class,CUST-0100,Customer 100,North,Office Supplies,Stapler,10.0,52.98,0.0,529.8,241.74,False,False,False,2025-09,5,0.4563
ORD-10053,2024-02-08,2024-02-10,Standard Class,CUST-0020,Customer 20,South,Office Supplies,Stapler,7.0,1022.1,0.0,7154.7,1737.75,False,False,False,2024-02,2,0.2429
ORD-10054,2025-12-16,2025-12-17,Standard Class,CUST-0135,Customer 135,West,Furniture,Bookcase,6.0,735.79,0.0,4414.74,1255.07,False,False,False,2025-12,1,0.2843
ORD-10055,2024-10-01,2024-10-08,First Class,CUST-0026,Customer 26,East,Office Supplies,Binder,8.0,211.89,0.0,1695.12,738.67,False,False,False,2024-10,7,0.4358
ORD-10056,2025-04-09,2025-04-13,Second Class,CUST-0142,Customer 142,North,Technology,Wireless Mouse,3.0,689.03,0.0,2067.09,349.11,False,False,False,2025-04,4,0.1689
ORD-10057,2024-12-03,2024-12-07,Standard Class,CUST-0079,Customer 79,East,Technology,Printer,6.0,780.83,0.0,4997.31,1549.45,False,False,False,2024-12,4,0.3101
ORD-10058,2024-03-28,2024-04-02,Second Class,CUST-0097,Customer 97,North,Office Supplies,Binder,2.0,165.24,0.0,330.48,130.0,False,False,False,2024-03,5,0.3934
ORD-10059,2025-11-23,2025-11-28,First Class,CUST-0172,Customer 172,North,Technology,Monitor,7.0,497.11,0.0,3479.77,1474.83,False,False,False,2025-11,5,0.4238
ORD-10060,2024-11-01,2024-11-04,First Class,CUST-0002,Customer 2,West,Office Supplies,Paper,4.0,571.59,0.0,2286.36,685.08,False,False,False,2024-11,3,0.2996
ORD-10061,2024-09-07,2024-09-11,Standard Class,CUST-0175,Customer 175,East,Office Supplies,Stapler,8.0,784.66,0.0,6277.28,1408.61,False,False,False,2024-09,4,0.2244
ORD-10062,2024-09-20,2024-09-21,Same Day,CUST-0031,Customer 31,South,Technology,Printer,6.0,617.72,0.1,3335.69,332.68,False,False,False,2024-09,1,0.0997
ORD-10063,2024-10-07,2024-10-11,Standard Class,CUST-0052,Customer 52,North,Technology,Printer,6.0,960.85,0.0,5765.1,1192.89,False,False,False,2024-10,4,0.2069
ORD-10064,2025-09-06,2025-09-10,Standard Class,CUST-0020,Customer 20,South,Furniture,Chair,10.0,71.4,0.0,714.0,273.5,False,False,False,2025-09,4,0.3831
ORD-10065,2024-10-30,2024-11-02,First Class,CUST-0043,Customer 43,East,Furniture,Chair,9.0,22.55,0.15,172.51,10.19,False,False,False,2024-10,3,0.0591
ORD-10066,2024-03-28,2024-04-01,Same Day,CUST-0090,Customer 90,West,Furniture,Bookcase,8.0,441.08,0.3,2470.05,-523.69,False,False,False,2024-03,4,-0.212
ORD-10067,2024-08-31,2024-09-01,First Class,CUST-0199,Customer 199,South,Furniture,Table Lamp,8.0,847.96,0.0,6783.68,1870.19,False,False,False,2024-08,1,0.2757
ORD-10068,2024-04-29,2024-05-06,First Class,CUST-0111,Customer 111,South,Office Supplies,Stapler,6.0,203.26,0.15,1036.63,4.64,False,False,False,2024-04,7,0.0045
ORD-10069,2024-08-27,2024-08-28,Same Day,CUST-0120,Customer 120,North,Office Supplies,Pens (Box),11.0,174.21,0.0,1916.31,694.85,False,False,False,2024-08,1,0.3626
ORD-10070,2024-12-08,2024-12-15,Standard Class,CUST-0194,Customer 194,South,Furniture,Desk,6.0,185.05,0.0,1110.3,202.64,False,False,False,2024-12,7,0.1825
ORD-10071,2024-01-11,2024-01-12,Second Class,CUST-0193,Customer 193,East,Furniture,Chair,4.0,590.79,0.0,2363.16,773.58,False,False,False,2024-01,1,0.3273
ORD-10072,2025-04-10,2025-04-15,Standard Class,CUST-0095,Customer 95,West,Office Supplies,Pens (Box),10.0,780.73,0.1,7026.57,1038.25,False,False,False,2025-04,5,0.1478
ORD-10073,2025-01-22,2025-01-28,First Class,CUST-0166,Customer 166,West,Technology,Printer,6.0,409.46,0.15,2088.25,444.92,False,False,False,2025-01,6,0.2131
ORD-10074,2025-10-25,2025-10-30,Second Class,CUST-0160,Customer 160,West,Technology,Printer,5.0,706.61,0.15,3003.09,815.4,False,False,False,2025-10,5,0.2715
ORD-10075,2024-10-12,2024-10-14,Standard Class,CUST-0051,Customer 51,West,Technology,Printer,2.0,481.27,0.2,770.03,76.24,False,False,False,2024-10,2,0.099
ORD-10076,2024-01-19,2024-01-20,First Class,CUST-0096,Customer 96,South,Furniture,Chair,3.0,1113.32,0.0,3339.96,1310.48,False,False,False,2024-01,1,0.3924
ORD-10077,2025-08-09,2025-08-14,Same Day,CUST-0151,Customer 151,West,Furniture,Desk,4.0,845.12,0.0,3380.48,528.6,False,False,False,2025-08,5,0.1564
ORD-10078,2025-10-21,2025-10-25,Same Day,CUST-0108,Customer 108,East,Office Supplies,Pens (Box),8.0,866.23,0.3,4850.89,-510.74,False,False,False,2025-10,4,-0.1053
ORD-10079,2024-10-31,2024-11-07,Standard Class,CUST-0172,Customer 172,North,Furniture,Bookcase,9.0,530.91,0.0,4778.19,1295.2,False,False,False,2024-10,7,0.2711
ORD-10080,2025-06-19,2025-06-22,Standard Class,CUST-0170,Customer 170,North,Furniture,Desk,10.0,901.23,0.0,9012.3,4115.43,False,False,False,2025-06,3,0.4566
ORD-10081,2024-06-25,2024-06-28,Standard Class,CUST-0166,Customer 166,West,Office Supplies,Pens (Box),6.0,1182.72,0.0,7096.32,1119.3,False,False,False,2024-06,3,0.1577
ORD-10082,2025-02-09,2025-02-11,Standard Class,CUST-0116,Customer 116,East,Technology,Laptop,3.0,963.46,0.2,2312.3,34.96,False,False,False,2025-02,2,0.0151
ORD-10083,2025-04-24,2025-04-30,Standard Class,CUST-0132,Customer 132,East,Technology,Wireless Mouse,1.0,135.59,0.1,122.03,20.39,False,False,False,2025-04,6,0.1671
ORD-10084,2025-08-07,2025-08-09,Same Day,CUST-0024,Customer 24,West,Office Supplies,Stapler,5.0,63.51,0.0,317.55,89.66,False,False,False,2025-08,2,0.2823
ORD-10085,2025-05-25,2025-06-01,First Class,CUST-0133,Customer 133,North,Furniture,Table Lamp,6.0,814.36,0.0,4886.16,1756.7,False,False,False,2025-05,7,0.3595
ORD-10086,2025-09-14,2025-09-19,First Class,CUST-0088,Customer 88,South,Furniture,Chair,5.0,420.9,0.15,1788.83,516.39,False,False,False,2025-09,5,0.2887
ORD-10087,2025-05-07,2025-05-10,Second Class,CUST-0068,Customer 68,South,Technology,Laptop,4.0,1064.44,0.0,4257.76,2002.49,False,False,False,2025-05,3,0.4703
ORD-10088,2025-12-30,2025-12-31,First Class,CUST-0114,Customer 114,South,Technology,Wireless Mouse,6.0,359.15,0.0,2154.9,974.26,False,False,False,2025-12,1,0.4521
ORD-10089,2024-06-09,2024-06-13,Second Class,CUST-0127,Customer 127,North,Office Supplies,Pens (Box),8.0,716.28,0.0,5730.24,1029.41,False,False,False,2024-06,4,0.1796
ORD-10090,2024-02-19,2024-02-26,First Class,CUST-0174,Customer 174,East,Furniture,Desk,1.0,246.36,0.0,246.36,84.1,False,False,False,2024-02,7,0.3414
ORD-10091,2025-12-16,2025-12-18,Second Class,CUST-0185,Customer 185,South,Technology,Monitor,5.0,1151.26,0.1,5180.67,1212.85,False,False,False,2025-12,2,0.2341
ORD-10092,2024-08-25,2024-08-27,First Class,CUST-0197,Customer 197,South,Technology,Laptop,7.0,1091.33,0.0,7639.31,1834.88,False,False,False,2024-08,2,0.2402
ORD-10093,2024-09-10,2024-09-17,Standard Class,CUST-0185,Customer 185,South,Technology,Laptop,4.0,293.44,0.0,1173.76,523.02,False,False,False,2024-09,7,0.4456
ORD-10094,2025-08-01,2025-08-08,Same Day,CUST-0104,Customer 104,North,Furniture,Bookcase,3.0,941.67,0.0,2825.01,941.6,False,False,False,2025-08,7,0.3333
ORD-10095,2024-05-04,2024-05-08,Second Class,CUST-0189,Customer 189,North,Office Supplies,Binder,9.0,1083.55,0.1,8776.75,3268.72,False,False,False,2024-05,4,0.3724
ORD-10096,2025-11-28,2025-12-05,Same Day,CUST-0009,Customer 9,North,Technology,Printer,4.0,617.71,0.0,2470.84,1204.42,False,False,False,2025-11,7,0.4875
ORD-10097,2024-07-11,2024-07-15,Same Day,CUST-0199,Customer 199,South,Furniture,Desk,1.0,299.05,0.0,299.05,101.89,False,False,False,2024-07,4,0.3407
ORD-10098,2024-03-22,2024-03-26,Standard Class,CUST-0042,Customer 42,West,Furniture,Chair,10.0,464.48,0.0,4644.8,1187.37,False,False,False,2024-03,4,0.2556
ORD-10099,2024-10-29,2024-11-05,Standard Class,CUST-0076,Customer 76,South,Furniture,Desk,5.0,502.85,0.0,2514.25,1158.5,False,False,False,2024-10,7,0.4608
ORD-10100,2024-12-23,2024-12-27,Same Day,CUST-0176,Customer 176,South,Furniture,Bookcase,4.0,403.05,0.0,1612.2,365.64,False,False,False,2024-12,4,0.2268
ORD-10101,2024-08-31,2024-09-02,First Class,CUST-0054,Customer 54,South,Furniture,Chair,4.0,294.77,0.0,1179.08,307.57,False,False,False,2024-08,2,0.2609
ORD-10102,2024-02-05,2024-02-10,Standard Class,CUST-0084,Customer 84,West,Furniture,Table Lamp,6.0,555.62,0.1,3000.35,1157.94,False,False,False,2024-02,5,0.3859
ORD-10103,2024-04-22,2024-04-23,First Class,CUST-0192,Customer 192,East,Furniture,Chair,11.0,16.07,0.0,176.77,86.45,False,False,False,2024-04,1,0.4891
ORD-10104,2025-02-19,2025-02-21,Same Day,CUST-0183,Customer 183,South,Technology,Laptop,1.0,710.28,0.15,603.74,247.42,False,False,False,2025-02,2,0.4098
ORD-10105,2024-06-30,2024-07-07,First Class,CUST-0180,Customer 180,East,Technology,Monitor,2.0,928.66,0.15,1578.72,484.77,False,False,False,2024-06,7,0.3071
ORD-10106,2025-12-19,2025-12-23,Same Day,CUST-0111,Customer 111,South,Office Supplies,Stapler,11.0,437.04,0.15,4086.32,1146.86,False,False,False,2025-12,4,0.2807
ORD-10107,2025-09-21,2025-09-22,First Class,CUST-0119,Customer 119,North,Technology,Monitor,3.0,499.76,0.0,1499.28,708.65,False,False,False,2025-09,1,0.4727
ORD-10108,2024-04-30,2024-05-06,Second Class,CUST-0010,Customer 10,North,Technology,Laptop,8.0,871.59,0.1,6275.45,986.62,False,False,False,2024-04,6,0.1572
ORD-10109,2024-02-13,2024-02-15,Same Day,CUST-0089,Customer 89,West,Office Supplies,Paper,7.0,155.6,0.0,1089.2,280.38,False,False,False,2024-02,2,0.2574
ORD-10110,2024-01-03,2024-01-06,Standard Class,CUST-0165,Customer 165,South,Furniture,Table Lamp,3.0,24.81,0.3,52.1,-0.35,False,False,False,2024-01,3,-0.0067
ORD-10111,2025-06-10,2025-06-11,Second Class,CUST-0153,Customer 153,West,Office Supplies,Paper,10.0,645.76,0.0,6457.6,2611.35,False,False,False,2025-06,1,0.4044
ORD-10112,2025-04-29,2025-05-01,Standard Class,CUST-0126,Customer 126,East,Furniture,Desk,4.0,1004.31,0.0,4017.24,1171.03,False,False,False,2025-04,2,0.2915
ORD-10113,2025-07-02,2025-07-07,First Class,CUST-0012,Customer 12,West,Office Supplies,Pens (Box),3.0,734.87,0.0,2204.61,796.62,False,False,False,2025-07,5,0.3613
ORD-10114,2025-07-07,2025-07-14,Standard Class,CUST-0094,Customer 94,South,Office Supplies,Stapler,3.0,1180.18,0.0,3540.54,1132.6,False,False,False,2025-07,7,0.3199
ORD-10115,2025-04-24,2025-04-27,Standard Class,CUST-0095,Customer 95,West,Office Supplies,Binder,6.0,492.51,0.0,2955.06,557.38,False,False,False,2025-04,3,0.1886
ORD-10116,2025-12-02,2025-12-09,Same Day,CUST-0122,Customer 122,East,Technology,Laptop,4.0,218.24,0.0,872.96,174.03,False,False,False,2025-12,7,0.1994
ORD-10117,2024-10-28,2024-11-01,Standard Class,CUST-0013,Customer 13,East,Furniture,Desk,6.0,881.53,0.15,4495.8,1149.5,False,False,False,2024-10,4,0.2557
ORD-10118,2025-07-25,2025-07-30,Same Day,CUST-0008,Customer 8,East,Technology,Printer,6.0,686.07,0.0,4116.42,755.81,False,False,False,2025-07,5,0.1836
ORD-10119,2024-06-02,2024-06-09,Same Day,CUST-0133,Customer 133,North,Office Supplies,Stapler,2.0,249.25,0.1,448.65,195.36,False,False,False,2024-06,7,0.4354
ORD-10120,2025-10-09,2025-10-13,First Class,CUST-0096,Customer 96,South,Office Supplies,Stapler,11.0,476.58,0.0,5242.38,1504.25,False,False,False,2025-10,4,0.2869
ORD-10121,2024-09-03,2024-09-06,Second Class,CUST-0124,Customer 124,South,Technology,Laptop,7.0,1122.78,0.0,7859.46,3388.53,False,False,False,2024-09,3,0.4311
ORD-10122,2024-04-28,2024-05-04,Standard Class,CUST-0026,Customer 26,East,Office Supplies,Paper,4.0,823.05,0.0,3292.2,545.8,False,False,False,2024-04,6,0.1658
ORD-10123,2025-12-13,2025-12-15,Second Class,CUST-0053,Customer 53,South,Furniture,Desk,9.0,1057.84,0.0,9520.56,4086.88,False,False,False,2025-12,2,0.4293
ORD-10124,2024-07-08,2024-07-10,First Class,CUST-0161,Customer 161,West,Furniture,Desk,6.0,58.98,0.0,353.88,58.12,False,False,False,2024-07,2,0.1642
ORD-10125,2024-08-08,2024-08-15,Same Day,CUST-0007,Customer 7,North,Technology,Wireless Mouse,2.0,306.66,0.0,613.32,142.49,False,False,False,2024-08,7,0.2323
ORD-10126,2025-12-18,2025-12-25,Second Class,CUST-0191,Customer 191,East,Furniture,Table Lamp,7.0,1143.83,0.0,8006.81,3617.25,False,False,False,2025-12,7,0.4518
ORD-10127,2025-01-15,2025-01-17,Standard Class,CUST-0076,Customer 76,South,Technology,Monitor,2.0,1015.73,0.0,2031.46,630.1,False,False,False,2025-01,2,0.3102
ORD-10128,2025-09-13,2025-09-19,Second Class,CUST-0058,Customer 58,North,Technology,Laptop,2.0,703.15,0.1,1265.67,416.81,False,False,False,2025-09,6,0.3293
ORD-10129,2024-10-25,2024-10-26,Standard Class,CUST-0142,Customer 142,North,Technology,Laptop,9.0,927.96,0.0,8351.64,1423.63,False,False,False,2024-10,1,0.1705
ORD-10130,2024-07-12,2024-07-13,Second Class,CUST-0169,Customer 169,South,Office Supplies,Paper,5.0,1016.54,0.0,5082.7,1805.64,False,False,False,2024-07,1,0.3553
ORD-10131,2025-01-25,2025-01-29,First Class,CUST-0014,Customer 14,West,Furniture,Table Lamp,8.0,1022.34,0.15,6951.91,1891.22,False,False,False,2025-01,4,0.272
ORD-10132,2024-04-27,2024-04-30,First Class,CUST-0113,Customer 113,East,Furniture,Chair,4.0,1128.32,0.15,3836.29,351.7,False,False,False,2024-04,3,0.0917
ORD-10133,2024-09-19,2024-09-20,Standard Class,CUST-0161,Customer 161,West,Technology,Monitor,6.0,646.2,0.0,3877.2,1759.81,False,False,False,2024-09,1,0.4539
ORD-10134,2025-11-26,2025-11-28,Second Class,CUST-0040,Customer 40,East,Furniture,Desk,10.0,200.47,0.0,2004.7,856.61,False,False,False,2025-11,2,0.4273
ORD-10135,2024-02-22,2024-02-26,Same Day,CUST-0084,Customer 84,West,Furniture,Desk,2.0,1100.63,0.0,2201.26,632.1,False,False,False,2024-02,4,0.2872
ORD-10136,2024-05-16,2024-05-19,Second Class,CUST-0039,Customer 39,South,Technology,Printer,8.0,1186.38,0.15,8067.38,858.32,False,False,False,2024-05,3,0.1064
ORD-10137,2024-02-11,2024-02-17,First Class,CUST-0191,Customer 191,East,Furniture,Table Lamp,11.0,412.96,0.0,4542.56,1726.89,False,False,False,2024-02,6,0.3802
ORD-10138,2025-08-02,2025-08-05,First Class,CUST-0107,Customer 107,West,Furniture,Table Lamp,8.0,258.29,0.2,1653.06,303.14,False,False,False,2025-08,3,0.1834
ORD-10139,2025-08-05,2025-08-06,Second Class,CUST-0025,Customer 25,West,Furniture,Bookcase,11.0,340.67,0.0,3747.37,1272.64,False,False,False,2025-08,1,0.3396
ORD-10140,2024-10-13,2024-10-19,Second Class,CUST-0071,Customer 71,West,Office Supplies,Stapler,6.0,1106.61,0.0,6639.66,1632.27,False,False,False,2024-10,6,0.2458
ORD-10141,2025-02-09,2025-02-11,Standard Class,CUST-0127,Customer 127,North,Technology,Printer,7.0,569.98,0.3,2792.9,319.39,False,False,False,2025-02,2,0.1144
ORD-10142,2024-01-30,2024-02-01,Same Day,CUST-0174,Customer 174,East,Office Supplies,Pens (Box),7.0,542.31,0.15,3226.74,332.67,False,False,False,2024-01,2,0.1031
ORD-10143,2025-06-20,2025-06-26,Second Class,CUST-0133,Customer 133,North,Technology,Wireless Mouse,8.0,366.46,0.2,2345.34,503.61,False,False,False,2025-06,6,0.2147
ORD-10144,2025-06-09,2025-06-11,First Class,CUST-0078,Customer 78,North,Office Supplies,Stapler,2.0,613.18,0.2,981.09,187.94,False,False,False,2025-06,2,0.1916
ORD-10145,2024-08-25,2024-08-30,Standard Class,CUST-0088,Customer 88,South,Technology,Printer,5.0,530.86,0.0,2654.3,1241.94,False,False,False,2024-08,5,0.4679
ORD-10146,2024-01-15,2024-01-22,Same Day,CUST-0044,Customer 44,South,Office Supplies,Stapler,4.0,395.22,0.0,1580.88,359.88,False,False,False,2024-01,7,0.2276
ORD-10147,2024-07-23,2024-07-25,Second Class,CUST-0130,Customer 130,East,Furniture,Table Lamp,8.0,159.59,0.0,1276.72,576.4,False,False,False,2024-07,2,0.4515
ORD-10148,2024-05-27,2024-06-01,First Class,CUST-0102,Customer 102,North,Office Supplies,Pens (Box),9.0,652.78,0.1,5287.52,390.56,False,False,False,2024-05,5,0.0739
ORD-10149,2024-11-17,2024-11-22,First Class,CUST-0042,Customer 42,West,Furniture,Desk,7.0,387.99,0.3,1901.15,163.26,False,False,False,2024-11,5,0.0859
ORD-10150,2025-09-30,2025-10-06,Same Day,CUST-0097,Customer 97,North,Technology,Monitor,8.0,734.22,0.0,5873.76,1012.76,False,False,False,2025-09,6,0.1724
ORD-10151,2025-08-13,2025-08-15,Second Class,CUST-0184,Customer 184,East,Furniture,Table Lamp,6.0,590.34,0.0,3542.04,1356.82,False,False,False,2025-08,2,0.3831
