OrderID,OrderDate,ShipDate,ShipMode,CustomerID,CustomerName,Region,Category,Product,Quantity,UnitPrice,Discount,Sales,Profit
ORD-10041,2025-06-16,2025-06-19,Same Day,CUST-0171,Customer 171,North,Office Supplies,Pens (Box),2.0,144.94,0.0,289.88,78.19
ORD-10042,2024-08-31,2024-09-06,Second Class,CUST-0005,Customer 5,south,Furniture,Bookcase,9.0,1078.55,0.1,8736.25,2963.65
ORD-10043,2025-06-22,2025-06-25,Standard Class,CUST-0041,Customer 41,North,Furniture,Desk,2.0,181.6,0.2,290.56,53.29
ORD-10044,2025-11-14,2025-11-19,Same Day,CUST-0129,Customer 129,East,Furniture,Bookcase,11.0,937.46,0.0,10312.06,3797.67
ORD-10045,2024-03-30,2024-03-31,Second Class,CUST-0150,Customer 150,North,Office Supplies,Pens (Box),11.0,146.58,0.15,1370.52,204.81
ORD-10046,2024-01-09,2024-01-16,Second Class,CUST-0013,  Customer 13  ,east,Furniture,Bookcase,6.0,547.91,0.15,2794.34,810.77
ORD-10047,12/10/2024,2024-10-19,Standard Class,CUST-0168,Customer 168,North,Technology,Laptop,4.0,1102.54,0.1,3969.14,1593.36
ORD-10048,2025-09-02,2025-09-03,First Class,CUST-0042,Customer 42,West,Office Supplies,Binder,9.0,132.17,0.3,832.67,-39.24
ORD-10049,2025-09-15,2025-09-21,Same Day,CUST-0007,Customer 7,North,Furniture,Bookcase,10.0,39.65,0.0,396.5,178.4
ORD-10050,2025-04-24,2025-04-30,First Class,CUST-0005,Customer 5,South,FURNITURE,Table Lamp,4.0,48.21,0.0,192.84,92.93
ORD-10051,2025-12-07,2025-12-14,Standard Class,CUST-0145,Customer 145,West,Office Supplies,Pens (Box),3.0,1020.04,0.0,3060.12,672.19
ORD-10052,2025-09-03,2025-09-08,First Class,CUST-0100,Customer 100,North,Office Supplies,Stapler,10.0,52.98,0.0,529.8,241.74
ORD-10053,2024-02-08,2024-02-10,Standard Class,CUST-0020,Customer 20,South,Office Supplies,Stapler,7.0,1022.1,0.0,7154.7,1737.75
ORD-10054,2025-12-16,2025-12-17,Standard Class,CUST-0135,Customer 135,West,FURNITURE,Bookcase,6.0,735.79,0.0,4414.74,1255.07
ORD-10055,2024-10-01,2024-10-08,First Class,CUST-0026,Customer 26,East,Office Supplies,Binder,8.0,211.89,0.0,1695.12,738.67
ORD-10056,2025-04-09,2025-04-13,Second Class,CUST-0142,Customer 142,North,Technology,Wireless Mouse,3.0,689.03,0.0,2067.09,349.11
ORD-10057,2024-12-03,2024-12-07,,CUST-0079,Customer 79,East,Technology,Printer,,780.83,,4997.31,1549.45
ORD-10058,2024-03-28,2024-04-02,Second Class,CUST-0097,Customer 97,North,Office Supplies,Binder,2.0,165.24,0.0,330.48,130.0
ORD-10059,2025-11-23,2025-11-28,First Class,CUST-0172,Customer 172,North,Technology,Monitor,7.0,497.11,0.0,3479.77,1474.83
ORD-10060,2024-11-01,2024-11-04,First Class,CUST-0002,Customer 2,west,Office Supplies,Paper,4.0,571.59,0.0,2286.36,685.08
ORD-10061,2024-09-07,2024-09-11,Standard Class,CUST-0175,Customer 175,east,Office Supplies,Stapler,8.0,784.66,0.0,6277.28,1408.61
ORD-10062,20/09/2024,2024-09-21,Same Day,CUST-0031,Customer 31,South,Technology,Printer,6.0,617.72,0.1,3335.69,332.68
ORD-10063,2024-10-07,2024-10-11,Standard Class,CUST-0052,Customer 52,North,Technology,Printer,6.0,960.85,0.0,5765.1,1192.89
ORD-10064,2025-09-06,2025-09-10,Standard Class,CUST-0020,Customer 20,South,Furniture,Chair,10.0,71.4,0.0,714.0,273.5
ORD-10065,2024-10-30,2024-11-02,First Class,CUST-0043,Customer 43,East,Furniture,Chair,9.0,22.55,0.15,172.51,10.19
ORD-10066,2024-03-28,2024-04-01,Same Day,CUST-0090,Customer 90,West,Furniture,Bookcase,8.0,441.08,0.3,2470.05,-523.69
ORD-10067,31/08/2024,2024-09-01,First Class,CUST-0199,Customer 199,South,Furniture,Table Lamp,8.0,847.96,0.0,6783.68,1870.19
ORD-10068,2024-04-29,2024-05-06,First Class,CUST-0111,Customer 111,South,Office Supplies,Stapler,6.0,203.26,0.15,1036.63,4.64
ORD-10069,2024-08-27,2024-08-28,Same Day,CUST-0120,Customer 120,North,Office Supplies,Pens (Box),11.0,174.21,0.0,1916.31,694.85
ORD-10070,08/12/2024,2024-12-15,Standard Class,CUST-0194,  Customer 194  ,South,Furniture,Desk,6.0,185.05,0.0,1110.3,202.64
ORD-10071,2024-01-11,2024-01-12,Second Class,CUST-0193,Customer 193,East,Furniture,Chair,4.0,590.79,0.0,2363.16,773.58
ORD-10072,2025-04-10,2025-04-15,Standard Class,CUST-0095,Customer 95,West,OFFICE SUPPLIES,Pens (Box),10.0,780.73,0.1,7026.57,1038.25
ORD-10073,2025-01-22,2025-01-28,First Class,CUST-0166,  Customer 166  ,West,Technology,Printer,6.0,409.46,0.15,2088.25,444.92
ORD-10074,2025-10-25,2025-10-30,Second Class,CUST-0160,Customer 160,West,Technology,Printer,5.0,706.61,0.15,3003.09,815.4
ORD-10075,2024-10-12,2024-10-14,Standard Class,CUST-0051,Customer 51,west,Technology,Printer,2.0,481.27,0.2,770.03,76.24
ORD-10076,19/01/2024,2024-01-20,First Class,CUST-0096,Customer 96,south,Furniture,Chair,3.0,1113.32,0.0,3339.96,1310.48
ORD-10077,2025-08-09,2025-08-14,Same Day,CUST-0151,Customer 151,West,Furniture,Desk,4.0,845.12,0.0,3380.48,528.6
ORD-10078,2025-10-21,2025-10-25,Same Day,CUST-0108,Customer 108,East,OFFICE SUPPLIES,Pens (Box),8.0,866.23,0.3,4850.89,-510.74
ORD-10079,2024-10-31,2024-11-07,Standard Class,CUST-0172,Customer 172,North,Furniture,Bookcase,9.0,530.91,0.0,4778.19,1295.2
ORD-10080,2025-06-19,2025-06-22,Standard Class,CUST-0170,Customer 170,North,Furniture,Desk,10.0,901.23,0.0,9012.3,4115.43
ORD-10081,2024-06-25,2024-06-28,Standard Class,CUST-0166,Customer 166,West,Office Supplies,Pens (Box),6.0,1182.72,0.0,7096.32,1119.3
ORD-10082,2025-02-09,2025-02-11,Standard Class,CUST-0116,  Customer 116  ,East,Technology,Laptop,3.0,963.46,0.2,2312.3,34.96
ORD-10083,2025-04-24,2025-04-30,Standard Class,CUST-0132,Customer 132,East,Technology,Wireless Mouse,1.0,135.59,0.1,122.03,20.39
ORD-10084,2025-08-07,2025-08-09,Same Day,CUST-0024,Customer 24,West,Office Supplies,Stapler,5.0,63.51,0.0,317.55,89.66
ORD-10085,2025-05-25,2025-06-01,First Class,CUST-0133,Customer 133,North,Furniture,Table Lamp,6.0,814.36,0.0,4886.16,1756.7
ORD-10086,14/09/2025,2025-09-19,First Class,CUST-0088,  Customer 88  ,South,Furniture,Chair,5.0,420.9,0.15,1788.83,516.39
ORD-10087,07/05/2025,2025-05-10,Second Class,CUST-0068,Customer 68,South,Technology,Laptop,4.0,1064.44,0.0,4257.76,2002.49
ORD-10088,2025-12-30,2025-12-31,First Class,CUST-0114,Customer 114,south,Technology,Wireless Mouse,6.0,359.15,0.0,2154.9,974.26
ORD-10089,2024-06-09,2024-06-13,Second Class,CUST-0127,Customer 127,north,OFFICE SUPPLIES,Pens (Box),8.0,716.28,0.0,5730.24,1029.41
ORD-10090,19/02/2024,2024-02-26,First Class,CUST-0174,Customer 174,East,Furniture,Desk,1.0,246.36,0.0,246.36,84.1
ORD-10091,2025-12-16,2025-12-18,Second Class,CUST-0185,Customer 185,South,Technology,Monitor,5.0,1151.26,0.1,5180.67,1212.85
ORD-10092,2024-08-25,2024-08-27,First Class,CUST-0197,Customer 197,South,Technology,Laptop,7.0,1091.33,0.0,7639.31,1834.88
ORD-10093,2024-09-10,2024-09-17,Standard Class,CUST-0185,  Customer 185  ,South,Technology,Laptop,4.0,293.44,0.0,1173.76,523.02
ORD-10094,2025-08-01,2025-08-08,Same Day,CUST-0104,Customer 104,North,Furniture,Bookcase,3.0,941.67,0.0,2825.01,941.6
ORD-10095,2024-05-04,2024-05-08,Second Class,CUST-0189,Customer 189,North,Office Supplies,Binder,9.0,1083.55,0.1,8776.75,3268.72
ORD-10096,28/11/2025,2025-12-05,Same Day,CUST-0009,  Customer 9  ,North,Technology,Printer,4.0,617.71,0.0,2470.84,1204.42
ORD-10097,2024-07-11,2024-07-15,Same Day,CUST-0199,Customer 199,South,Furniture,Desk,1.0,299.05,0.0,299.05,101.89
ORD-10098,2024-03-22,2024-03-26,Standard Class,CUST-0042,Customer 42,West,Furniture,Chair,10.0,464.48,0.0,4644.8,1187.37
ORD-10099,2024-10-29,2024-11-05,Standard Class,CUST-0076,Customer 76,south,Furniture,Desk,5.0,502.85,0.0,2514.25,1158.5
ORD-10100,2024-12-23,2024-12-27,Same Day,CUST-0176,Customer 176,South,Furniture,Bookcase,4.0,403.05,0.0,1612.2,365.64
ORD-10101,2024-08-31,2024-09-02,First Class,CUST-0054,Customer 54,South,Furniture,Chair,4.0,294.77,0.0,1179.08,307.57
ORD-10102,2024-02-05,2024-02-10,Standard Class,CUST-0084,Customer 84,west,Furniture,Table Lamp,6.0,555.62,0.1,3000.35,1157.94
ORD-10103,2024-04-22,2024-04-23,First Class,CUST-0192,Customer 192,East,Furniture,Chair,11.0,16.07,0.0,176.77,86.45
ORD-10104,2025-02-19,2025-02-21,Same Day,CUST-0183,Customer 183,South,Technology,Laptop,1.0,710.28,0.15,603.74,247.42
ORD-10105,30/06/2024,2024-07-07,First Class,CUST-0180,Customer 180,East,Technology,Monitor,2.0,928.66,0.15,1578.72,484.77
ORD-10106,2025-12-19,2025-12-23,Same Day,CUST-0111,Customer 111,South,OFFICE SUPPLIES,Stapler,11.0,437.04,0.15,4086.32,1146.86
ORD-10107,2025-09-21,2025-09-22,First Class,CUST-0119,Customer 119,North,Technology,Monitor,3.0,499.76,0.0,1499.28,708.65
ORD-10108,2024-04-30,2024-05-06,Second Class,CUST-0010,Customer 10,North,Technology,Laptop,8.0,871.59,0.1,6275.45,986.62
ORD-10109,2024-02-13,2024-02-15,Same Day,CUST-0089,Customer 89,West,Office Supplies,Paper,7.0,155.6,0.0,1089.2,280.38
ORD-10110,03/01/2024,2024-01-06,Standard Class,CUST-0165,Customer 165,South,FURNITURE,Table Lamp,3.0,24.81,0.3,52.1,-0.35
ORD-10111,10/06/2025,2025-06-11,Second Class,CUST-0153,Customer 153,West,Office Supplies,Paper,10.0,645.76,0.0,6457.6,2611.35
ORD-10112,29/04/2025,2025-05-01,Standard Class,CUST-0126,Customer 126,East,Furniture,Desk,4.0,1004.31,0.0,4017.24,1171.03
ORD-10113,2025-07-02,2025-07-07,First Class,CUST-0012,Customer 12,West,Office Supplies,Pens (Box),3.0,734.87,0.0,2204.61,796.62
ORD-10114,2025-07-07,2025-07-14,Standard Class,CUST-0094,  Customer 94  ,South,Office Supplies,Stapler,3.0,1180.18,0.0,3540.54,1132.6
ORD-10115,24/04/2025,2025-04-27,Standard Class,CUST-0095,Customer 95,West,Office Supplies,Binder,6.0,492.51,0.0,2955.06,557.38
ORD-10116,02/12/2025,2025-12-09,Same Day,CUST-0122,Customer 122,East,Technology,Laptop,4.0,218.24,0.0,872.96,174.03
ORD-10117,28/10/2024,2024-11-01,Standard Class,CUST-0013,Customer 13,East,FURNITURE,Desk,6.0,881.53,0.15,4495.8,1149.5
ORD-10118,2025-07-25,2025-07-30,Same Day,CUST-0008,Customer 8,East,Technology,Printer,6.0,686.07,0.0,4116.42,755.81
ORD-10119,2024-06-02,2024-06-09,Same Day,CUST-0133,Customer 133,North,Office Supplies,Stapler,2.0,249.25,0.1,448.65,195.36
ORD-10120,2025-10-09,2025-10-13,First Class,CUST-0096,Customer 96,South,Office Supplies,Stapler,11.0,476.58,0.0,5242.38,1504.25
ORD-10121,2024-09-03,2024-09-06,Second Class,CUST-0124,Customer 124,South,Technology,Laptop,7.0,1122.78,0.0,7859.46,3388.53
ORD-10122,2024-04-28,2024-05-04,Standard Class,CUST-0026,Customer 26,East,Office Supplies,Paper,4.0,823.05,0.0,3292.2,545.8
ORD-10123,2025-12-13,2025-12-15,Second Class,CUST-0053,Customer 53,South,Furniture,Desk,9.0,1057.84,0.0,9520.56,4086.88
ORD-10124,2024-07-08,2024-07-10,First Class,CUST-0161,Customer 161,West,Furniture,Desk,6.0,58.98,0.0,353.88,58.12
ORD-10125,2024-08-08,2024-08-15,Same Day,CUST-0007,Customer 7,North,Technology,Wireless Mouse,2.0,306.66,0.0,613.32,142.49
ORD-10126,2025-12-18,2025-12-25,Second Class,CUST-0191,Customer 191,East,Furniture,Table Lamp,7.0,1143.83,0.0,8006.81,3617.25
ORD-10127,2025-01-15,2025-01-17,Standard Class,CUST-0076,Customer 76,South,Technology,Monitor,2.0,1015.73,0.0,2031.46,630.1
ORD-10128,2025-09-13,2025-09-19,Second Class,CUST-0058,Customer 58,North,Technology,Laptop,2.0,703.15,0.1,1265.67,416.81
ORD-10129,2024-10-25,2024-10-26,Standard Class,CUST-0142,Customer 142,North,Technology,Laptop,9.0,927.96,0.0,8351.64,1423.63
ORD-10130,12/07/2024,2024-07-13,Second Class,CUST-0169,  Customer 169  ,South,Office Supplies,Paper,5.0,1016.54,0.0,5082.7,1805.64
ORD-10131,25/01/2025,2025-01-29,First Class,CUST-0014,Customer 14,West,Furniture,Table Lamp,8.0,1022.34,0.15,6951.91,1891.22
ORD-10132,2024-04-27,2024-04-30,First Class,CUST-0113,Customer 113,East,Furniture,Chair,4.0,1128.32,0.15,3836.29,351.7
ORD-10133,2024-09-19,2024-09-20,Standard Class,CUST-0161,Customer 161,West,Technology,Monitor,6.0,646.2,0.0,3877.2,1759.81
ORD-10134,26/11/2025,2025-11-28,Second Class,CUST-0040,Customer 40,East,Furniture,Desk,10.0,200.47,0.0,2004.7,856.61
ORD-10135,22/02/2024,2024-02-26,Same Day,CUST-0084,Customer 84,West,Furniture,Desk,2.0,1100.63,0.0,2201.26,632.1
ORD-10136,2024-05-16,2024-05-19,Second Class,CUST-0039,Customer 39,South,Technology,Printer,8.0,1186.38,0.15,8067.38,858.32
ORD-10137,2024-02-11,2024-02-17,First Class,CUST-0191,Customer 191,east,FURNITURE,Table Lamp,11.0,412.96,0.0,4542.56,1726.89
ORD-10138,2025-08-02,2025-08-05,First Class,CUST-0107,  Customer 107  ,West,Furniture,Table Lamp,8.0,258.29,0.2,1653.06,303.14
ORD-10139,2025-08-05,2025-08-06,Second Class,CUST-0025,Customer 25,West,Furniture,Bookcase,11.0,340.67,0.0,3747.37,1272.64
ORD-10140,2024-10-13,2024-10-19,Second Class,CUST-0071,Customer 71,west,Office Supplies,Stapler,6.0,1106.61,0.0,6639.66,1632.27
ORD-10141,2025-02-09,2025-02-11,Standard Class,CUST-0127,Customer 127,north,TECHNOLOGY,Printer,7.0,569.98,0.3,2792.9,319.39
ORD-10142,2024-01-30,2024-02-01,Same Day,CUST-0174,Customer 174,East,Office Supplies,Pens (Box),7.0,542.31,0.15,3226.74,332.67
ORD-10143,2025-06-20,2025-06-26,Second Class,CUST-0133,Customer 133,North,Technology,Wireless Mouse,8.0,366.46,0.2,2345.34,503.61
ORD-10144,2025-06-09,2025-06-11,First Class,CUST-0078,Customer 78,North,Office Supplies,Stapler,2.0,613.18,0.2,981.09,187.94
ORD-10145,2024-08-25,2024-08-30,Standard Class,CUST-0088,Customer 88,South,Technology,Printer,5.0,530.86,0.0,2654.3,1241.94
ORD-10146,2024-01-15,2024-01-22,Same Day,CUST-0044,Customer 44,South,Office Supplies,Stapler,4.0,395.22,0.0,1580.88,359.88
ORD-10147,2024-07-23,2024-07-25,Second Class,CUST-0130,Customer 130,East,Furniture,Table Lamp,8.0,159.59,0.0,1276.72,576.4
ORD-10148,27/05/2024,2024-06-01,First Class,CUST-0102,Customer 102,North,Office Supplies,Pens (Box),9.0,652.78,0.1,5287.52,390.56
ORD-10149,2024-11-17,2024-11-22,First Class,CUST-0042,Customer 42,West,Furniture,Desk,7.0,387.99,0.3,1901.15,163.26
ORD-10150,2025-09-30,2025-10-06,Same Day,CUST-0097,Customer 97,north,TECHNOLOGY,Monitor,8.0,734.22,0.0,5873.76,1012.76
ORD-10151,13/08/2025,2025-08-15,Second Class,CUST-0184,  Customer 184  ,East,FURNITURE,Table Lamp,6.0,590.34,0.0,3542.04,1356.82
ORD-10152,2025-09-07,2025-09-09,Same Day,CUST-0154,Customer 154,south,Office Supplies,Pens (Box),4.0,1173.95,0.1,4226.22,621.57
ORD-10153,2024-08-10,2024-08-12,Second Class,CUST-0095,Customer 95,West,Technology,Printer,6.0,292.07,0.0,1752.42,698.76
ORD-10154,2024-06-08,2024-06-11,Standard Class,CUST-0068,Customer 68,South,TECHNOLOGY,Monitor,4.0,980.19,0.15,3332.65,1142.14
ORD-10155,2025-03-17,2025-03-18,Standard Class,CUST-0133,Customer 133,North,Technology,Monitor,9.0,1007.81,0.0,9070.29,2076.94
ORD-10156,20/05/2024,2024-05-27,Same Day,CUST-0019,Customer 19,west,Technology,Wireless Mouse,4.0,188.99,0.0,755.96,214.02
ORD-10157,2024-12-13,2024-12-20,Standard Class,CUST-0084,Customer 84,West,Office Supplies,Stapler,1.0,169.91,0.1,152.92,51.87
ORD-10158,30/08/2025,2025-09-01,First Class,CUST-0038,Customer 38,West,Technology,Laptop,8.0,215.75,0.0,1726.0,529.43
ORD-10159,2024-03-18,2024-03-19,First Class,CUST-0139,Customer 139,south,Office Supplies,Pens (Box),8.0,1190.49,0.3,6666.74,183.23
ORD-10160,2024-08-20,2024-08-23,First Class,CUST-0044,Customer 44,South,Furniture,Table Lamp,4.0,556.14,0.0,2224.56,1072.25
ORD-10161,2024-10-15,2024-10-18,Standard Class,CUST-0079,  Customer 79  ,East,Technology,Monitor,9.0,999.38,0.15,7645.26,1836.37
ORD-10162,2024-12-24,2024-12-31,Standard Class,CUST-0035,Customer 35,West,Office Supplies,Pens (Box),2.0,1072.17,0.0,2144.34,412.41
ORD-10163,2024-03-04,2024-03-08,Same Day,CUST-0141,Customer 141,West,Furniture,Desk,6.0,85.68,0.0,514.08,256.95
ORD-10164,2025-04-21,2025-04-22,Same Day,CUST-0163,  Customer 163  ,South,Furniture,Chair,4.0,988.64,0.0,3954.56,1774.01
ORD-10165,2025-02-02,2025-02-08,First Class,CUST-0123,Customer 123,East,OFFICE SUPPLIES,Stapler,6.0,983.94,0.0,5903.64,2136.71
ORD-10166,03/01/2025,2025-01-06,Standard Class,CUST-0062,Customer 62,East,Furniture,Table Lamp,3.0,901.57,0.0,2704.71,1004.08
ORD-10167,2024-04-28,2024-04-30,Standard Class,CUST-0036,Customer 36,North,Furniture,Bookcase,9.0,147.1,0.0,1323.9,580.26
ORD-10168,23/12/2025,2025-12-30,Second Class,CUST-0133,  Customer 133  ,North,Furniture,Desk,8.0,168.97,0.1,1216.58,328.4
ORD-10169,2024-12-11,2024-12-16,Same Day,CUST-0095,Customer 95,West,Office Supplies,Pens (Box),11.0,1048.07,0.0,11528.77,4873.45
ORD-10170,2025-02-17,2025-02-21,Standard Class,CUST-0191,Customer 191,East,FURNITURE,Bookcase,1.0,663.34,0.15,563.84,67.21
ORD-10171,2024-07-07,2024-07-13,Standard Class,CUST-0022,Customer 22,South,Furniture,Table Lamp,7.0,586.0,0.0,4102.0,1449.94
ORD-10172,2024-10-08,2024-10-12,First Class,CUST-0055,Customer 55,South,Technology,Printer,2.0,328.48,0.0,656.96,256.11
ORD-10173,2025-07-18,2025-07-23,Same Day,CUST-0161,Customer 161,West,Office Supplies,Pens (Box),1.0,6.28,0.0,6.28,1.17
ORD-10174,2024-12-09,2024-12-12,Standard Class,CUST-0138,Customer 138,North,Office Supplies,Pens (Box),2.0,573.93,0.2,918.29,320.46
ORD-10175,2024-10-29,2024-10-31,Standard Class,CUST-0052,Customer 52,North,Technology,Monitor,3.0,817.03,0.0,2451.09,1140.48
ORD-10176,08/04/2024,2024-04-10,Standard Class,CUST-0150,Customer 150,North,Technology,Laptop,1.0,1033.04,0.0,1033.04,386.08
ORD-10177,2024-01-24,2024-01-31,First Class,CUST-0064,Customer 64,West,Technology,Monitor,3.0,734.53,0.0,2203.59,416.64
ORD-10178,2024-03-25,2024-04-01,Same Day,CUST-0173,Customer 173,West,Office Supplies,Paper,1.0,745.39,0.0,745.39,150.32
ORD-10179,2024-02-15,2024-02-18,Second Class,CUST-0155,Customer 155,South,Office Supplies,Stapler,6.0,1196.03,0.0,7176.18,2580.25
ORD-10180,2025-08-11,2025-08-15,Second Class,CUST-0033,Customer 33,North,Furniture,Bookcase,11.0,208.56,0.3,1605.91,58.44
ORD-10181,2025-04-22,2025-04-25,Standard Class,CUST-0161,Customer 161,West,Office Supplies,Pens (Box),5.0,480.04,0.0,2400.2,1092.53
ORD-10182,2025-09-24,2025-09-28,Second Class,CUST-0112,Customer 112,west,Office Supplies,Paper,9.0,709.25,0.0,6383.25,2278.6
ORD-10183,2024-07-16,2024-07-20,Same Day,CUST-0024,Customer 24,West,Technology,Monitor,11.0,1119.67,0.0,12316.37,4738.82
ORD-10184,2025-04-25,2025-04-26,Second Class,CUST-0021,Customer 21,East,Technology,Monitor,4.0,667.51,0.0,2670.04,1011.93
ORD-10185,2025-07-23,2025-07-27,Same Day,CUST-0067,Customer 67,West,Furniture,Desk,2.0,869.12,0.0,1738.24,738.6
ORD-10186,2025-08-26,2025-09-02,Standard Class,CUST-0020,Customer 20,South,Technology,Monitor,6.0,1113.37,0.0,6680.22,1776.06
ORD-10187,2025-03-26,2025-03-27,Same Day,CUST-0130,  Customer 130  ,East,Office Supplies,Pens (Box),5.0,1109.06,,5545.3,2763.69
